Freq.	V(out)
2.50715535702484e+03	(-8.02350383782040e+01dB,-2.65824178410155e+01°)
2.56555450740267e+03	(-8.21975142505773e+01dB,-3.04624548306417e+01°)
2.62531394873945e+03	(-8.41622378159334e+01dB,-3.42632277769002e+01°)
2.68646536628200e+03	(-8.61291147422964e+01dB,-3.79877785435786e+01°)
2.74904118332132e+03	(-8.80980574496243e+01dB,-4.16391045479157e+01°)
2.81307457838389e+03	(-9.00689845800756e+01dB,-4.52201654524036e+01°)
2.87859950282338e+03	(-9.20418204963149e+01dB,-4.87338898943993e+01°)
2.94565069882202e+03	(-9.40164948051929e+01dB,-5.21831822759021e+01°)
3.01426371781148e+03	(-9.59929419037830e+01dB,-5.55709296358184e+01°)
3.08447493932262e+03	(-9.79711005444323e+01dB,-5.89000086274218e+01°)
3.15632159027444e+03	(-9.99509134151905e+01dB,-6.21732926244054e+01°)
3.22984176471228e+03	(-1.01932326731681e+02dB,-6.53936589798464e+01°)
3.30507444400579e+03	(-1.03915289836176e+02dB,-6.85639964634805e+01°)
3.38205951751733e+03	(-1.05899754799329e+02dB,-7.16872129038714e+01°)
3.46083780375191e+03	(-1.07885676019633e+02dB,-7.47662430633114e+01°)
3.54145107199965e+03	(-1.09873009815318e+02dB,-7.78040567745574e+01°)
3.62394206448240e+03	(-1.11861714002903e+02dB,-8.08036673697636e+01°)
3.70835451901629e+03	(-1.13851747456116e+02dB,-8.37681404331611e+01°)
3.79473319220204e+03	(-1.15843069638284e+02dB,-8.67006029101301e+01°)
3.88312388315552e+03	(-1.17835640100575e+02dB,-8.96042526062422e+01°)
3.97357345779107e+03	(-1.19829417937662e+02dB,-9.24823681105648e+01°)
4.06612987367041e+03	(-1.21824361191430e+02dB,-9.53383191779380e+01°)
4.16084220543036e+03	(-1.23820426192241e+02dB,-9.81755776049562e+01°)
4.25776067080289e+03	(-1.25817566826009e+02dB,-1.00997728633896e+02°)
4.35693665724119e+03	(-1.27815733713884e+02dB,-1.03808482917674e+02°)
4.45842274916605e+03	(-1.29814873289686e+02dB,-1.06611689076919e+02°)
4.56227275584671e+03	(-1.31814926758334e+02dB,-1.09411346877143e+02°)
4.66854173993134e+03	(-1.33815828916356e+02dB,-1.12211621049563e+02°)
4.77728604664194e+03	(-1.35817506813166e+02dB,-1.15016855772955e+02°)
4.88856333364933e+03	(-1.37819878229042e+02dB,-1.17831589825604e+02°)
5.00243260164400e+03	(-1.39822849942696e+02dB,-1.20660572405484e+02°)
5.11895422561909e+03	(-1.41826315757973e+02dB,-1.23508779602528e+02°)
5.23818998688197e+03	(-1.43830154255469e+02dB,-1.26381431488583e+02°)
5.36020310581153e+03	(-1.45834226230819e+02dB,-1.29284009767398e+02°)
5.48505827537847e+03	(-1.47838371777053e+02dB,-1.32222275897772e+02°)
5.61282169544635e+03	(-1.49842406963795e+02dB,-1.35202289566476e+02°)
5.74356110787163e+03	(-1.51846120061278e+02dB,-1.38230427342356e+02°)
5.87734583242132e+03	(-1.53849267252309e+02dB,-1.41313401287379e+02°)
6.01424680352724e+03	(-1.55851567770653e+02dB,-1.44458277232558e+02°)
6.15433660789635e+03	(-1.57852698399990e+02dB,-1.47672492344440e+02°)
6.29768952299724e+03	(-1.59852287264162e+02dB,-1.50963871509166e+02°)
6.44438155644300e+03	(-1.61849906837268e+02dB,-1.54340641943574e+02°)
