Freq.	V(out)
3.55953022622589e+01	(-4.80353667096920e+01dB,2.44328257687650e+01°)
3.64244233630849e+01	(-4.88662353860411e+01dB,2.37670393456370e+01°)
3.72728571753121e+01	(-4.96956241022078e+01dB,2.31176575497503e+01°)
3.81410535497783e+01	(-5.05236010440875e+01dB,2.24840317509354e+01°)
3.90294728156931e+01	(-5.13502306079346e+01dB,2.18655435113475e+01°)
3.99385860247110e+01	(-5.21755735838740e+01dB,2.12616022375766e+01°)
4.08688752006888e+01	(-5.29996873259174e+01dB,2.06716430243384e+01°)
4.18208335952615e+01	(-5.38226259091252e+01dB,2.00951246688315e+01°)
4.27949659493707e+01	(-5.46444402745001e+01dB,1.95315278372204e+01°)
4.37917887608845e+01	(-5.54651783621568e+01dB,1.89803533667674e+01°)
4.48118305584522e+01	(-5.62848852332556e+01dB,1.84411206889199e+01°)
4.58556321817367e+01	(-5.71036031811401e+01dB,1.79133663602419e+01°)
4.69237470681750e+01	(-5.79213718320608e+01dB,1.73966426894261e+01°)
4.80167415464180e+01	(-5.87382282358178e+01dB,1.68905164498391e+01°)
4.91351951366057e+01	(-5.95542069466014e+01dB,1.63945676680881e+01°)
5.02797008576360e+01	(-6.03693400942504e+01dB,1.59083884800316e+01°)
5.14508655415915e+01	(-6.11836574461040e+01dB,1.54315820464609e+01°)
5.26493101554899e+01	(-6.19971864595569e+01dB,1.49637615214115e+01°)
5.38756701305288e+01	(-6.28099523253830e+01dB,1.45045490666822e+01°)
5.51305956989997e+01	(-6.36219780018288e+01dB,1.40535749067305e+01°)
5.64147522390498e+01	(-6.44332842394246e+01dB,1.36104764185859e+01°)
5.77288206274747e+01	(-6.52438895964031e+01dB,1.31748972519066e+01°)
5.90734976007275e+01	(-6.60538104445519e+01dB,1.27464864746955e+01°)
6.04494961243384e+01	(-6.68630609652657e+01dB,1.23248977405623e+01°)
6.18575457709381e+01	(-6.76716531354957e+01dB,1.19097884737549e+01°)
6.32983931070869e+01	(-6.84795967032312e+01dB,1.15008190685102e+01°)
6.47728020891144e+01	(-6.92868991520696e+01dB,1.10976520995415e+01°)
6.62815544681790e+01	(-7.00935656543599e+01dB,1.06999515407799e+01°)
6.78254502047627e+01	(-7.08995990123242e+01dB,1.03073819897383e+01°)
6.94053078928209e+01	(-7.17049995864787e+01dB,9.91960789512998e+00°)
7.10219651938117e+01	(-7.25097652105842e+01dB,9.53629278564844e+00°)
7.26762792808352e+01	(-7.33138910922683e+01dB,9.15709849807347e+00°)
