Freq.	V(out)
1.20798068816080e+02	(-2.25720559824373e+01dB,7.61947288401397e+01°)
1.23611817300543e+02	(-2.33680719142795e+01dB,7.40403050493143e+01°)
1.26491106406735e+02	(-2.41644989723768e+01dB,7.19444325393393e+01°)
1.29437462771851e+02	(-2.49612291073306e+01dB,6.99042591473690e+01°)
1.32452448593036e+02	(-2.57581704607065e+01dB,6.79171124913930e+01°)
1.35537662455680e+02	(-2.65552444124645e+01dB,6.59804858695382e+01°)
1.38694740181012e+02	(-2.73523830958310e+01dB,6.40920248283442e+01°)
1.41925355693430e+02	(-2.81495273038760e+01dB,6.22495145117669e+01°)
1.45231221908040e+02	(-2.89466247229281e+01dB,6.04508678470769e+01°)
1.48614091638868e+02	(-2.97436284375344e+01dB,5.86941145842753e+01°)
1.52075758528224e+02	(-3.05404956600213e+01dB,5.69773911782219e+01°)
1.55618057997711e+02	(-3.13371866448861e+01dB,5.52989314843051e+01°)
1.59242868221398e+02	(-3.21336637543904e+01dB,5.36570582268219e+01°)
1.62952111121644e+02	(-3.29298906469218e+01dB,5.20501751924758e+01°)
1.66747753388133e+02	(-3.37258315640775e+01dB,5.04767600981917e+01°)
1.70631807520636e+02	(-3.45214506960992e+01dB,4.89353580817370e+01°)
1.74606332896066e+02	(-3.53167116083571e+01dB,4.74245757646885e+01°)
1.78673436860384e+02	(-3.61115767141279e+01dB,4.59430758395043e+01°)
1.82835275845949e+02	(-3.69060067810169e+01dB,4.44895721354575e+01°)
1.87094056514878e+02	(-3.76999604601079e+01dB,4.30628251216408e+01°)
1.91452036929054e+02	(-3.84933938283370e+01dB,4.16616378089734e+01°)
1.95911527747377e+02	(-3.92862599357365e+01dB,4.02848520169637e+01°)
2.00474893450908e+02	(-4.00785083501195e+01dB,3.89313449748241e+01°)
2.05144553596545e+02	(-4.08700846925147e+01dB,3.76000262303312e+01°)
2.09922984099908e+02	(-4.16609301572428e+01dB,3.62898348435316e+01°)
2.14812718548100e+02	(-4.24509810109767e+01dB,3.49997368460199e+01°)
2.19816349543049e+02	(-4.32401680654772e+01dB,3.37287229500337e+01°)
2.24936530076138e+02	(-4.40284161189537e+01dB,3.24758064950453e+01°)
2.30175974934862e+02	(-4.48156433611939e+01dB,3.12400216228984e+01°)
2.35537462142234e+02	(-4.56017607377471e+01dB,3.00204216758415e+01°)
2.41023834429742e+02	(-4.63866712685512e+01dB,2.88160778150941e+01°)
2.46638000744591e+02	(-4.71702693164776e+01dB,2.76260778608454e+01°)
2.52382937792076e+02	(-4.79524398013486e+01dB,2.64495253578604e+01°)
